1 Cristiano_Ronaldo Soccer Portuguese 88 32
2 Lionel_Messi Soccer Argentina 81.4 28
3 LeBron_James Basketball USA 77.2 54
4 Roger_Federer Tennis Switzerland 67.8 60
5 Kevin_Durant Basketball USA 56.2 36
